"x"
"akr1a1_4"
"arpc1b-b"
"arsb"
"b3gnt6"
"c1qa"
"c3orf14"
"chfr"
"cox4i1_3"
"czib"
"dazap2"
"ermard"
"f11r_2"
"gas2l3"
"hax1"
"hmg14"
"hsdl1"
"igl1_3"
"kyat3"
"mccc2_2"
"mrpl48_3"
"ncoa7_3"
"rce1"
"rec8"
"slfn9"
"tedc2"
"tm256_2"
