"x"
"aadacl4_2"
"aars2"
"abcb8"
"acss3"
"adam15"
"adam17"
"adrb1_2"
"alox15b"
"ankrd46"
"atf6b"
"atl2"
"avpr2"
"b3gnt3.2"
"bdh1"
"btbd3"
"ccdc15"
"cd44"
"chchd6-a"
"chrm4"
"cipc"
"comt"
"ctns"
"cyp2j6"
"dcun1d1"
"dgcr2"
"dhx34"
"ext2"
"fam117b"
"fbxl14"
"fbxo34"
"golm2"
"hsd17b12"
"hspbp1"
"ifngr2"
"ints15"
"kansl1"
"kctd6"
"kdm8"
"loc100135367"
"lypd3"
"maea"
"marveld1"
"mob4"
"mto1_2"
"mul1"
"myh3"
"naglu"
"nomo1"
"pde7a"
"poll"
"ppp2r2a"
"ppp2r5a"
"prcp"
"ptdss1"
"pym1"
"rbm4b"
"retreg3"
"rnf185"
"rxrb"
"sap30"
"senp5"
"slc25a23"
"snx21"
"sphk1"
"spsb1"
"tbcc"
"tcirg1"
"tcp11l2"
"tep1"
"thsd1"
"tlcd2"
"tmem165"
"tmem248"
"tmlhe"
"tssc4"
"ubiad1"
"vamp5"
"vkt"
"vps33a"
"vps45"
"vps51"
"vps54"
"wdr53"
"zbtb5"
"znf212"
"znf219_2"
"znf569"
"znf652-a"
"znf668"
"zswim3"
"zup1"
