"x"
"adcyap1"
"ak9"
"anapc13"
"ankdd1b"
"bhlhe41"
"cdk17"
"dmbt1"
"fkbp8"
"hmcn2"
"hsd17b8_3"
"lipc"
"mgc79752"
"mlh3"
"nptxr"
"pik3r6"
"prkra-a"
"ptprt_2"
"rad51d"
"rhbdd3"
"slc16a14"
"sult2b1_2"
"th"
"tmem175"
"tmem183_2"
"ugt2a1"
