"x"
"aar2"
"abca1_4"
"abhd3"
"acox3_4"
"acoxl"
"adamtsl3"
"adgrd1"
"ahrr"
"ak5"
"ami"
"amps3"
"angptl5"
"ankrd28_2"
"ap1s3_2"
"aqp8"
"art5_2"
"atoh8"
"atox1"
"ba_5318"
"barx1b"
"bin1_2"
"brinp2"
"brms1l"
"bsdc1-a"
"c1qtnf3"
"cables1"
"cacng6"
"cacul1_3"
"cav3"
"cav3_2"
"ccng2"
"ccni_2"
"cd37"
"cdhr3"
"cdhr3_2"
"cdon"
"cfl2_4"
"chst4"
"cldn8_4"
"clic5"
"cntln"
"col6a4"
"col8a2"
"coq5"
"crb2"
"cyp2c5_5"
"cyp2h2_2"
"cystm1"
"dera_3"
"dhh-a"
"dhi1"
"dhrs3"
"dio2"
"dip2a"
"dipk1a"
"dnah2"
"dnajc30"
"dstyk"
"duox1_2"
"eeig2"
"efcc1"
"efs"
"egr1"
"eif4e3_2"
"elapor2"
"elf1"
"ell_2"
"eme2"
"enc1"
"entpd2"
"ercc6_2"
"ervfrd-1_2"
"ervk-7_2"
"esrp1_2"
"f10_2"
"fam149a"
"fam172bp"
"fam181b"
"fam184a"
"fblim1"
"fbxo42"
"fg10470.1"
"fhdc1_3"
"flt4"
"fmod"
"fut2"
"galk2"
"galr2_2"
"garnl3"
"gatsl3"
"get1"
"get4"
"glyctk"
"gmfb"
"gmip"
"golga7_2"
"gosr2"
"gpr19"
"guk1_4"
"hacd4"
"hdac9"
"hint3"
"hsd17b14_4"
"hyls-1"
"icmt"
"igsf11_2"
"il6r"
"ist1_5"
"kars1"
"krit1"
"krtcap2"
"lamp1_3"
"lamp3"
"lars2"
"lech_3"
"lhfpl2"
"lin1_124"
"llph_2"
"loc100485348"
"loc100486431"
"loc100488690"
"loc100493556"
"loc100494194"
"loc100495598"
"loc101733326"
"loc101733883"
"loc116408836"
"lorf2_19"
"lorf2_21"
"lrrc19"
"lrrc20"
"lypd2_2"
"lypd5"
"lysmd1_2"
"mapkap1"
"mcoln3"
"mef2d"
"megf11"
"mettl7b"
"mff"
"mgat4b_2"
"mgst1_2"
"misp3"
"mogat1_2"
"mov10"
"mrc1"
"mrpl14"
"msmb_5"
"mtarc2"
"myadm"
"naa30"
"napsa"
"nd1"
"ndufaf5_3"
"nell2"
"nherf2"
"nkpd1"
"nkpd1_3"
"nlgn2"
"nlk"
"nnmt_4"
"nt5m_2"
"ogfod3"
"otos"
"paqr8"
"parp9_3"
"pcdh19"
"pced1a"
"pdk3"
"peg10_99"
"pfkfb3_5"
"pgap4"
"pgbd4_42"
"pigf"
"pigy"
"pinlyp"
"plekha2"
"pol"
"pol_19"
"pol_45"
"pol_87"
"polr3gl"
"popdc3"
"pou4f2"
"ppm1f"
"ppp3cb_4"
"prkg1"
"prss12_2"
"ptgis"
"ptprn"
"ptprn2"
"pycr3_3"
"rab3a"
"rab3d_2"
"ralgps2_2"
"ranbp3_2"
"ranbp3l"
"rarb"
"rasef"
"rbm18_2"
"rbm38"
"rcsd1"
"rdh16"
"rexo2_3"
"rft1"
"rnaseh2b_2"
"rps13_2"
"rtkn2"
"rtl3"
"rwdd1"
"ryr3"
"s100p_2"
"samd12_5"
"samd13"
"sbf1"
"sdsl"
"sec61a1"
"sept2-b"
"sfxn1"
"shh"
"slc26a2_2"
"slc31a2"
"slc34a2"
"slc39a13"
"slc46a1"
"slc4a5"
"slc52a3"
"smad4_2"
"smagp_2"
"snap29"
"snx16"
"spata4"
"spopl"
"srgap3_2"
"st6galnac5"
"stpg4"
"syt2_2"
"sytl5"
"tcta_4"
"thap4_2"
"thbs4"
"thumpd1_2"
"tlcd3a"
"tlr2-1"
"tmed4"
"tmem132e"
"tmem263_2"
"tmem9b_2"
"tmpo_103"
"tmpo_18"
"tmpo_45"
"tnip1_2"
"trim25_7"
"trim32"
"triqk"
"trmt9b"
"ttc29"
"tvp23a"
"ube2d2_3"
"ube2z_2"
"ubl4a"
"unc119b-b"
"usp19_3"
"usp8"
"vhl_2"
"wap1"
"wdr49"
"wfdc18"
"wnt6"
"xpnpep2"
"yif1b-a"
"yp015"
"ypel1"
"yy1_2"
"zcchc8"
"zdhhc6_2"
"zfyve27_2"
"zg66_34"
"zg66_4"
"znf783_3"
"znf8"
