"x"
"actr2"
"airc"
"antkmt"
"arhgap19"
"birc5.2-b"
"ccnb3"
"cdc123"
"cenpa"
"ckap2"
"dbf4"
"dbf4b"
"ermp1"
"extl2"
"fbxw4"
"foxm1"
"gcfc2"
"gpr4_2"
"gtse1"
"hlcs"
"ids"
"kif20a"
"knstrn"
"lin37"
"mipep"
"ncapd2"
"pex5_5"
"plk1"
"plk4"
"poc5"
"prc1"
"prr11"
"racgap1"
"rgl1"
"rnf103"
"sgo1"
"slc35a3"
"slc39a11"
"slc6a14_3"
"st7_2"
"stambpl1"
"ticrr"
"tmem143"
"tmem17l"
