"x"
"airc_3"
"ankrd40"
"anks6"
"cerk"
"dnajb5"
"fpgt"
"ha1f_2"
"harbi1_13"
"harbi1_26"
"harbi1_9"
"isyna1-b"
"kat6a"
"loc101732587"
"mapk6"
"nfil3_2"
"nlrx1"
"pak1"
"pgbd4_7"
"phf8"
"plin2"
"ptpn1"
"qtsa-11015"
"rarres2"
"rtl1_9"
"szrd1"
"tango6"
"tent5c"
"tfrc"
"ubc_2"
"ubxn4"
