"x"
"acly"
"acss3"
"actr8"
"adgre5"
"aga"
"agap3"
"alg14"
"ap4b1"
"atp6v1g1"
"c8orf82"
"cemip2"
"cmklr2_2"
"csf3r"
"csrp2"
"dcaf11"
"eif2b3"
"endou-d"
"epb41l1"
"etf1"
"exo5"
"fahd2a"
"fam149a"
"fancb"
"fbrsl1"
"fdx2"
"folh1"
"gale_2"
"gjb1"
"gtf2ird2"
"ift22"
"il17ra"
"itpr1"
"katnb1"
"klhl2"
"loc100494984"
"loc100496031"
"maip1"
"med17"
"mgme1"
"mgst1"
"msmo1"
"mtrf1l_3"
"nd1_2"
"nrros"
"ntm"
"pdcd4_2"
"plekha3_2"
"ppp2r3b"
"rapgef2"
"ripk2_3"
"rnf112_3"
"rrp8"
"runx2"
"rxylt1"
"slc2a11.3"
"slco2a1"
"spacdr"
"sqle"
"srxn1"
"svil"
"tfe3"
"tinagl1"
"tubgcp5"
"vamp5"
"zg66_44"
"znf217"
"znfx1"
"zo84_9"
