"x"
"a1cf"
"agrn"
"alkbh4"
"ankrd54"
"arf1_2"
"bace2"
"c2cd2"
"ca5b"
"cab39l"
"casc3"
"cd151"
"cldn15.2"
"crybg1"
"cryl1"
"dgke"
"dhrs12"
"dtx3"
"dusp3_2"
"emc10"
"eral1"
"esr1"
"fam161a"
"fis1"
"gcip"
"gid8"
"gin1_29"
"golim4_2"
"golt1b"
"hnrnpll_2"
"hunk-a"
"ifrd2"
"ikzf1"
"iqck"
"klf10"
"lats2"
"lix1l"
"lman2l"
"loc100495090"
"lrp6"
"man2a1"
"map3k13-a"
"med18"
"mmgt1"
"mrps26"
"mvb12a"
"ndfip2"
"nkpd1_2"
"pank1"
"pkd1"
"rab11fip5"
"rgp1"
"rheb"
"rmdn3"
"sft2d3"
"sfxn5"
"sgip1"
"slc16a10"
"slc27a6"
"sorbs1"
"ssbp3_2"
"stx7"
"syf2"
"tmem167b"
"tmem183"
"tns3"
"ubac1"
"unk"
"vps13a"
"zbtb25"
"zcchc3"
"zfta"
"zg66_26"
"zo29_7"
